HEADER,fixture,sample,sourceNodes,targetNodes,rootMicroticks,persistentMicroticks,rootMutations,persistentMutationRow,address
ROW,period2_mixed,64,216201,216715,37038,2,1,fuelZero_pc10_phase0_emptyfalse,RLRLRR
ROW,period2_mixed,65,216715,216715,49840,380,1,C4_bittrue_phase0,RLRLRRLRLLRRRR
ROW,period2_mixed,66,216715,218301,48437,388,1,normalResponse_pc0_phase0_emptyfalse,RLRLR
ROW,period2_mixed,67,218301,219887,18765,2,1,normalResponse_pc2_phase0_emptyfalse,RLRLRL
ROW,period2_mixed,68,219887,221473,18965,4,1,normalResponse_pc6_phase0_emptyfalse,RLRLRLL
ROW,period2_mixed,69,221473,223059,26425,2,1,normalResponse_pc8_phase0_emptyfalse,RLRLRLLR
ROW,period2_mixed,70,223059,224645,26785,2,1,normalResponse_pc10_phase0_emptyfalse,RLRLRLLRR
ROW,period2_mixed,71,224645,226231,27399,2,1,normalResponse_pc12_phase0_emptyfalse,RLRLRLLRRL
ROW,period2_mixed,72,226231,227817,26998,2,1,normalResponse_pc14_phase0_emptyfalse,RLRLRLLRRLR
ROW,period2_mixed,73,227817,229403,27146,2,1,normalResponse_pc16_phase0_emptyfalse,RLRLRLLRRLRR
ROW,period2_mixed,74,229403,229421,20226,662,1,C4_bittrue_phase1,RLRLRLLRRLRRRRLRLLRRR
ROW,period2_mixed,75,229421,244069,21059,625,1,normalResponse_pc0_phase1_emptyfalse,RLRL
ROW,period2_mixed,76,244069,258717,18719,2,1,normalResponse_pc2_phase1_emptyfalse,RLRLL
ROW,period2_mixed,77,258717,273365,19079,4,1,normalResponse_pc6_phase1_emptyfalse,RLRLLL
ROW,period2_mixed,78,273365,288013,23787,2,1,normalResponse_pc8_phase1_emptyfalse,RLRLLLR
ROW,period2_mixed,79,288013,302661,24147,2,1,normalResponse_pc10_phase1_emptyfalse,RLRLLLRR
ROW,period2_mixed,80,302661,317309,24761,2,1,normalResponse_pc12_phase1_emptyfalse,RLRLLLRRR
ROW,period2_mixed,81,317309,331957,25071,2,1,normalResponse_pc14_phase1_emptyfalse,RLRLLLRRRR
ROW,period2_mixed,82,331957,346605,25299,2,1,normalResponse_pc16_phase1_emptyfalse,RLRLLLRRRRR
ROW,period2_mixed,83,346605,361253,25545,2,1,normalResponse_pc18_phase1_emptyfalse,RLRLLLRRRRRR
ROW,period2_mixed,84,361253,375919,25752,1,1,normalResponse_pc19_phase1_emptyfalse,RLRLLLRRRRRR
ROW,period2_mixed,85,375919,390585,25937,2,1,normalResponse_pc21_phase1_emptyfalse,RLRLLLRRRRRRL
ROW,period2_mixed,86,390585,405267,26156,1,1,normalResponse_pc22_phase1_emptyfalse,RLRLLLRRRRRRL
ROW,period2_mixed,87,405267,405287,25523,71,1,clockPositive_pc0_phase0_emptyfalse,RLRLRLL
ROW,period2_mixed,88,405287,405307,26393,22,1,clockPositive_pc0_phase0_emptyfalse,RLRLRLLR
ROW,period2_mixed,89,405307,405327,26440,22,1,clockPositive_pc0_phase0_emptyfalse,RLRLRLLRR
ROW,period2_mixed,90,405327,405347,26481,49,1,clockZero_pc0_phase0_emptyfalse,RLRLRLLRRR
ROW,period2_mixed,91,405347,405501,26444,118,1,clockLaunch,RLRLRL
ROW,period2_mixed,92,405501,405655,25758,26,1,fuelPositive_pc1_phase0_emptyfalse,RLRLRLL
ROW,period2_mixed,93,405655,405909,26403,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRLRL
ROW,period2_mixed,94,405909,406063,34115,28,1,fuelPositive_pc1_phase0_emptyfalse,RLRLRLRL
ROW,period2_mixed,95,406063,406317,37009,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRLRLR
ROW,period2_mixed,96,406317,406471,36509,28,1,fuelPositive_pc1_phase0_emptyfalse,RLRLRLRRL
ROW,period2_mixed,97,406471,406725,39406,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRLRLRR
ROW,period2_mixed,98,406725,406879,37817,58,1,fuelZero_pc1_phase0_emptyfalse,RLRLRLRRRL
ROW,period2_mixed,99,406879,407037,42690,3,1,fuelZero_pc4_phase0_emptyfalse,RLRLRLRRRL
ROW,period2_mixed,100,407037,407291,45957,2,1,fuelZero_pc6_phase0_emptyfalse,RLRLRLRRR
ROW,period2_mixed,101,407291,407545,47909,2,1,fuelZero_pc8_phase0_emptyfalse,RLRLRLRRRL
ROW,period2_mixed,102,407545,408115,45260,2,1,fuelZero_pc10_phase0_emptyfalse,RLRLRLRRR
ROW,period2_mixed,103,408115,408115,57956,380,1,C4_bittrue_phase0,RLRLRLRRRLRLLRRRR
ROW,period2_mixed,104,408115,409925,56553,388,1,normalResponse_pc0_phase0_emptyfalse,RLRLRLRR
ROW,period2_mixed,105,409925,411735,24698,2,1,normalResponse_pc2_phase0_emptyfalse,RLRLRLRRL
ROW,period2_mixed,106,411735,413545,24898,4,1,normalResponse_pc6_phase0_emptyfalse,RLRLRLRRLL
ROW,period2_mixed,107,413545,415355,34658,2,1,normalResponse_pc8_phase0_emptyfalse,RLRLRLRRLLR
ROW,period2_mixed,108,415355,417165,35018,2,1,normalResponse_pc10_phase0_emptyfalse,RLRLRLRRLLRR
ROW,period2_mixed,109,417165,418975,35632,2,1,normalResponse_pc12_phase0_emptyfalse,RLRLRLRRLLRRL
ROW,period2_mixed,110,418975,420785,35231,2,1,normalResponse_pc14_phase0_emptyfalse,RLRLRLRRLLRRLR
ROW,period2_mixed,111,420785,422595,35379,2,1,normalResponse_pc16_phase0_emptyfalse,RLRLRLRRLLRRLRR
ROW,period2_mixed,112,422595,422613,23121,662,1,C4_bittrue_phase1,RLRLRLRRLLRRLRRRRLRLLRRR
ROW,period2_mixed,113,422613,439333,23802,625,1,normalResponse_pc0_phase1_emptyfalse,RLRLRLR
ROW,period2_mixed,114,439333,456053,24560,2,1,normalResponse_pc2_phase1_emptyfalse,RLRLRLRL
ROW,period2_mixed,115,456053,472773,24760,4,1,normalResponse_pc6_phase1_emptyfalse,RLRLRLRLL
ROW,period2_mixed,116,472773,489493,32448,2,1,normalResponse_pc8_phase1_emptyfalse,RLRLRLRLLR
ROW,period2_mixed,117,489493,506213,32808,2,1,normalResponse_pc10_phase1_emptyfalse,RLRLRLRLLRR
ROW,period2_mixed,118,506213,522933,33422,2,1,normalResponse_pc12_phase1_emptyfalse,RLRLRLRLLRRR
ROW,period2_mixed,119,522933,539653,33732,2,1,normalResponse_pc14_phase1_emptyfalse,RLRLRLRLLRRRR
PASS,period2_mixed,samples=120,rootTicks=2958436,persistentTicks=8401,maxRootTicks=57956,maxTermSize=539653
ALL_PASS,fixtures=6,samples=720
