ROW,77,13,29,29,29
ROW,78,13,29,29,29
ROW,79,13,29,29,29
ROW,80,13,29,29,29
ROW,81,13,29,29,29
ROW,82,13,29,29,29
ROW,83,13,29,29,29
ROW,84,13,29,29,29
ROW,85,13,29,29,29
ROW,86,13,29,29,29
ROW,87,13,29,29,29
ROW,88,13,29,29,29
ROW,89,13,29,29,29
ROW,90,13,29,29,29
ROW,91,13,29,29,29
ROW,92,13,29,29,29
ROW,93,13,29,29,29
ROW,94,13,29,29,29
ROW,95,13,29,29,29
ROW,96,13,29,29,29
ROW,97,13,29,29,29
ROW,98,13,29,29,29
ROW,99,13,29,29,29
ROW,100,13,29,29,29
ROW,101,13,29,29,29
ROW,102,13,29,29,29
ROW,103,13,29,29,29
ROW,104,13,29,29,29
ROW,105,13,29,29,29
ROW,106,13,29,29,29
ROW,107,13,53,53,53
ROW,108,13,53,53,53
ROW,109,13,64,64,64
ROW,110,13,57,57,57
ROW,111,13,56,56,56
ROW,112,13,49,49,49
ROW,113,13,49,49,49
ROW,114,13,49,49,49
ROW,115,13,49,49,49
ROW,116,13,49,49,49
ROW,117,13,49,49,49
ROW,118,13,49,49,49
ROW,119,13,49,49,49
ROW,120,13,49,49,49
ROW,121,13,56,56,56
ROW,122,13,60,60,60
ROW,123,13,52,52,52
ROW,124,13,52,52,52
ROW,125,13,52,52,52
ROW,126,13,62,62,62
ROW,127,13,66,66,66
ROW,128,13,58,58,58
ROW,129,13,58,58,58
ROW,130,13,58,58,58
ROW,131,13,56,56,56
ROW,132,13,52,52,52
ROW,133,13,63,63,63
ROW,134,13,59,59,59
ROW,135,13,68,68,68
ROW,136,13,64,64,64
ROW,137,13,62,62,62
ROW,138,13,58,58,58
ROW,139,13,76,76,76
ROW,140,13,72,72,72
ROW,141,13,53,53,53
ROW,142,13,53,53,53
ROW,143,13,63,63,63
ROW,144,13,62,62,62
ROW,145,13,56,56,56
ROW,146,13,65,65,65
ROW,147,13,82,82,82
ROW,148,13,65,65,65
ROW,149,13,79,79,79
ROW,150,13,59,59,59
ROW,151,13,59,59,59
ROW,152,13,79,79,79
ROW,153,13,77,77,77
