HEADER,fixture,index,sourceNodes,syntacticRedexes,haltTag,microticks,mutations,address
ROW,period2_mixed,82,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,627,0,
ROW,period2_mixed,83,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,611,1,RR
ROW,period2_mixed,84,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,625,0,
ROW,period2_mixed,85,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,627,0,
ROW,period2_mixed,86,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,598,1,R
ROW,period2_mixed,87,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,598,1,R
ROW,period2_mixed,88,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,625,0,
ROW,period2_mixed,89,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,627,0,
ROW,period2_mixed,90,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,598,1,R
ROW,period2_mixed,91,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,598,1,R
ROW,period2_mixed,92,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,605,1,RL
ROW,period2_mixed,93,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,625,0,
ROW,period2_mixed,94,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,627,0,
ROW,period2_mixed,95,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,627,0,
ROW,period2_mixed,96,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,627,0,
ROW,period2_mixed,97,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,608,1,RLR
ROW,period2_mixed,98,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,598,1,R
ROW,period2_mixed,99,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,598,1,R
ROW,period2_mixed,100,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,598,1,R
ROW,period2_mixed,101,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,605,1,RL
ROW,period2_mixed,102,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,598,1,R
ROW,period2_mixed,103,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,598,1,R
ROW,period2_mixed,104,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,605,1,RL
ROW,period2_mixed,105,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,605,1,RL
ROW,period2_mixed,106,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,612,1,RLL
ROW,period2_mixed,107,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1008,0,
ROW,period2_mixed,108,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1010,0,
ROW,period2_mixed,109,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1010,0,
ROW,period2_mixed,110,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1010,0,
ROW,period2_mixed,111,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,994,1,RR
ROW,period2_mixed,112,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1010,0,
ROW,period2_mixed,113,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1012,0,
ROW,period2_mixed,114,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1010,0,
ROW,period2_mixed,115,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,989,1,R
ROW,period2_mixed,116,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1010,0,
ROW,period2_mixed,117,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1012,0,
ROW,period2_mixed,118,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,989,1,R
ROW,period2_mixed,119,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,989,1,R
ROW,period2_mixed,120,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,996,1,RL
ROW,period2_mixed,121,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1011,0,
ROW,period2_mixed,122,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1013,0,
ROW,period2_mixed,123,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1013,0,
ROW,period2_mixed,124,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1013,0,
ROW,period2_mixed,125,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,998,1,R
ROW,period2_mixed,126,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1603,1,
ROW,period2_mixed,127,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1603,1,
ROW,period2_mixed,128,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1630,1,
ROW,period2_mixed,129,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1630,1,
ROW,period2_mixed,130,13,2,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1690,1,
ROW,period2_mixed,131,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1011,0,
ROW,period2_mixed,132,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1013,0,
ROW,period2_mixed,133,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1016,0,
ROW,period2_mixed,134,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1018,0,
ROW,period2_mixed,135,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1609,1,
ROW,period2_mixed,136,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1636,1,
ROW,period2_mixed,137,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1792,1,
ROW,period2_mixed,138,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1819,1,
ROW,period2_mixed,139,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1563,1,L
ROW,period2_mixed,140,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1563,1,L
ROW,period2_mixed,141,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1011,0,
ROW,period2_mixed,142,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1013,0,
ROW,period2_mixed,143,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1016,0,
ROW,period2_mixed,144,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1016,0,
ROW,period2_mixed,145,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,998,1,LR
ROW,period2_mixed,146,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1609,1,
ROW,period2_mixed,147,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1618,1,
ROW,period2_mixed,148,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1798,1,
ROW,period2_mixed,149,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1572,1,L
ROW,period2_mixed,150,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1795,1,
ROW,period2_mixed,151,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,2170,1,
ROW,period2_mixed,152,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1575,1,L
ROW,period2_mixed,153,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1570,1,L
ROW,period2_mixed,154,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1853,1,LL
ROW,period2_mixed,155,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1011,0,
ROW,period2_mixed,156,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1013,0,
ROW,period2_mixed,157,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1013,0,
ROW,period2_mixed,158,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1013,0,
ROW,period2_mixed,159,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,994,1,LRR
ROW,period2_mixed,160,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1016,0,
ROW,period2_mixed,161,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1018,0,
ROW,period2_mixed,162,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1016,0,
ROW,period2_mixed,163,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,998,1,LR
ROW,period2_mixed,164,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1016,0,
ROW,period2_mixed,165,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,1018,0,
ROW,period2_mixed,166,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,998,1,LR
ROW,period2_mixed,167,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1001,1,LR
ROW,period2_mixed,168,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1002,1,LRL
ROW,period2_mixed,169,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1582,1,
ROW,period2_mixed,170,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1582,1,
ROW,period2_mixed,171,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1591,1,
ROW,period2_mixed,172,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1594,1,
ROW,period2_mixed,173,13,2,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1594,1,
ROW,period2_mixed,174,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1771,1,
ROW,period2_mixed,175,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1780,1,
ROW,period2_mixed,176,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1575,1,L
ROW,period2_mixed,177,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1572,1,L
ROW,period2_mixed,178,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1774,1,
ROW,period2_mixed,179,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,2149,1,
ROW,period2_mixed,180,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1584,1,L
ROW,period2_mixed,181,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1573,1,L
ROW,period2_mixed,182,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1856,1,LL
ROW,period2_mixed,183,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1768,1,
ROW,period2_mixed,184,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1774,1,
ROW,period2_mixed,185,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,2155,1,
ROW,period2_mixed,186,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,2311,1,
ROW,period2_mixed,187,13,2,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1945,1,
ROW,period2_mixed,188,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1581,1,L
ROW,period2_mixed,189,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1569,1,L
ROW,period2_mixed,190,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1579,1,L
ROW,period2_mixed,191,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1853,1,LL
ROW,period2_mixed,192,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1567,1,L
ROW,period2_mixed,193,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1582,1,L
ROW,period2_mixed,194,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1937,1,LL
ROW,period2_mixed,195,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1862,1,LL
ROW,period2_mixed,196,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1900,1,LLL
PASS,period2_mixed,terms=197,normal=89,redex=108,microticks=218763,maxMicroticks=2311
ALL_PASS,fixtures=2,termsPerFixture=197,executions=394
